HBVX 2009 Version 3.8: HBV model. Coding by: N. Kayastha, D.L Shrestha and D. P. Solomatine, 2007
12-6-2014 7:06:40
Name of Catchment: Brue
Output to file: C:\Users\gco\Dropbox\HI2013\Courses given\Uncertainty Analysis\FilestoGive\output.asc
State variable to file: C:\Users\gco\Dropbox\HI2013\Courses given\Uncertainty Analysis\FilestoGive\state.asc
Input calibration(CAL) file: C:\Users\gco\Dropbox\HI2013\Courses given\Uncertainty Analysis\FilestoGive\caldata.cal  (1000 time points)
Input initial condition(INI) file: C:\Users\gco\Dropbox\HI2013\Courses given\Uncertainty Analysis\FilestoGive\init.ini
Input parameter(PIN) file: C:\Users\gco\Dropbox\HI2013\Courses given\Uncertainty Analysis\FilestoGive\g.pin  with values:
           138.9100,           0.4973,           1.4056,           2.2471,           0.0016,           0.0037,           0.1454,           0.0358,          10.5840,           0.0000,           0.0000,           0.0000,           0.0000, 
Calculated error value(s), excluding initial warmup period of 100 Time steps:-
  (2) Coefficient of efficiency               :        0,9362
  (3) Weighted root mean squared error        :        1,1139
  (10) RMSE of LOW flow events                 :        0,4599
  (11) RMSE of PEAK flow events                :        4,7800

Time step 1 corresponds to starting date(YYYYMMDDHH)1994120720 
Time,Rainfall,     Snowfall,    ActualET,    Qrec,        Qcomp,       SurfaceFlow,  Baseflow
     1,     0.00000,      0.00000,     0.01610,     5.01280,     0.10403,     0.06684,     0.03718
     2,     0.00000,      0.00000,     0.00150,     4.79440,     0.40941,     0.26045,     0.14896
     3,     0.00000,      0.00000,     0.00980,     4.63940,     0.90345,     0.56768,     0.33577
     4,     0.00600,      0.00000,     0.02380,     4.51340,     1.57489,     0.97685,     0.59804
     5,     0.28800,      0.00000,     0.03320,     4.38010,     2.42031,     1.48408,     0.93623
     6,     0.43500,      0.00000,     0.02250,     4.24640,     3.34270,     2.02922,     1.31347
     7,     0.02300,      0.00000,     0.03120,     4.13680,     4.05519,     2.43031,     1.62488
     8,     0.75800,      0.00000,     0.03070,     4.02810,     4.57414,     2.71045,     1.86369
     9,     1.26500,      0.00000,     0.01960,     3.94700,     4.96937,     2.93992,     2.02946
    10,     1.17700,      0.00000,     0.01880,     3.89130,     5.32176,     3.20003,     2.12173
    11,     1.01200,      0.00000,     0.01920,     3.87900,     5.70416,     3.55765,     2.14651
    12,     0.43200,      0.00000,     0.01740,     3.91140,     6.29151,     4.13287,     2.15864
    13,     1.22800,      0.00000,     0.01730,     4.09700,     7.15258,     4.98185,     2.17072
    14,     2.91100,      0.00000,     0.01170,     4.47990,     8.40905,     6.22629,     2.18276
    15,     2.65800,      0.00000,     0.00830,     5.23850,    10.25504,     8.06028,     2.19476
    16,     0.12300,      0.00000,     0.00710,     6.90800,    12.65185,    10.44514,     2.20671
    17,     0.87400,      0.00000,     0.00930,     9.65780,    15.43946,    13.22084,     2.21861
    18,     0.22800,      0.00000,     0.02050,    12.52900,    18.51023,    16.27975,     2.23048
    19,     0.00700,      0.00000,     0.06440,    15.37830,    21.49150,    19.24920,     2.24230
    20,     0.00000,      0.00000,     0.05750,    18.75390,    23.69777,    21.44370,     2.25407
    21,     0.00300,      0.00000,     0.01580,    22.27100,    24.67786,    22.41206,     2.26581
    22,     0.89100,      0.00000,     0.00340,    25.24800,    24.65905,    22.38156,     2.27750
    23,     1.70100,      0.00000,     0.00000,    25.83590,    23.82381,    21.53466,     2.28914
    24,     0.31200,      0.00000,     0.00000,    23.57190,    22.52557,    20.22482,     2.30075
    25,     0.25700,      0.00000,     0.00000,    20.06590,    21.21888,    18.90657,     2.31231
    26,     0.12400,      0.00000,     0.00630,    16.88190,    20.32435,    18.00052,     2.32383
    27,     0.00000,      0.00000,     0.00000,    14.54590,    19.81485,    17.47954,     2.33531
    28,     0.03600,      0.00000,     0.00000,    13.22710,    19.45874,    17.11200,     2.34674
    29,     0.01800,      0.00000,     0.00000,    12.88790,    18.91430,    16.55616,     2.35813
    30,     0.01500,      0.00000,     0.00000,    12.93280,    18.11786,    15.74837,     2.36949
    31,     0.00000,      0.00000,     0.00000,    12.76660,    17.04842,    14.66763,     2.38080
    32,     0.00000,      0.00000,     0.00000,    12.08620,    15.73238,    13.34032,     2.39206
    33,     0.00500,      0.00000,     0.00000,    11.16790,    14.30582,    11.90253,     2.40329
    34,     0.00100,      0.00000,     0.00000,    10.25760,    12.97214,    10.55766,     2.41448
    35,     0.00800,      0.00000,     0.00000,     9.42290,    11.78157,     9.35594,     2.42562
    36,     0.00000,      0.00000,     0.00000,     8.70680,    10.73768,     8.30096,     2.43673
